athlete_name,date,event,location,distance,current_type,temp,field_size
Alexander STUDZINSKI,8/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30.0,No Current,Neutral,15.0
Evgenij POP ACEV,8/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30.0,No Current,Neutral,15.0
Guillermo BERTOLA,8/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30.0,No Current,Neutral,15.0
Edoardo STOCHINO,8/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30.0,No Current,Neutral,15.0
Damian BLAUM,8/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30.0,No Current,Neutral,15.0
Xavier DESHARNAIS,8/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30.0,No Current,Neutral,15.0
Matheus EMERIM EVANGELISTA,8/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30.0,No Current,Neutral,15.0
Bertrand VENTURI,8/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30.0,No Current,Neutral,15.0
Edouard LEHOUX,8/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30.0,No Current,Neutral,15.0
Aleksandar ILIEVSKI,8/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30.0,No Current,Neutral,15.0
Aquiles BALAUDO,8/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30.0,No Current,Neutral,15.0
Nicolas PROVENZANO,8/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30.0,No Current,Neutral,15.0
Matias DIAZ HERNANDEZ,8/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30.0,No Current,Neutral,15.0
Aleksandar PANCEVSKI,8/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30.0,No Current,Neutral,15.0
