athlete_name,date,event,location,distance,current_type,temp,field_size
Jack BURNELL,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Ferry WEERTMAN,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
David AUBRY,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Marc-Antoine OLIVIER,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Rob MUFFELS,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Kirill ABROSIMOV,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Federico VANELLI,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Marcel SCHOUTEN,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Matteo FURLAN,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Simone RUFFINI,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Caleb HUGHES,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Jack BRAZIER,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Christian REICHERT,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Pepijn SMITS,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Soeren MEISSNER,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Allan DO CARMO,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Kirill ABROSIMOV,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Richard WEINBERGER,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Aleksandr ASTAPOV,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Diogo VILLARINHO,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Logan FONTAINE,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Axel REYMOND,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Andreas WASCHBURGER,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Guillermo BERTOLA,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Marcus HERWIG,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Raul SANTIAGO BETANCOR,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Sergey BOLSHAKOV,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Daniel SZEKELYI,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Yasunari HIRAI,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Yohsuke MIYAMOTO,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Lachlan COLQUHOUN,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Vitaliy KHUDYAKOV,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Kai Graeme EDWARDS,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Simon HUITENGA,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Ventsislav AYDARSKI,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Pol GIL,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Mark PAPP,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Anis CHENITI,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Benjamin BRANTU,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Taiki NONAKA,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Alexander STUDZINSKI,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
Yosuke AOKI,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
David BRANDL,3/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,72.0
