athlete_name,date,event,location,distance,current_type,temp,field_size
Marcel SCHOUTEN,7/26/2018,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,21.0
Fernando PONTE,7/26/2018,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,21.0
Diogo VILLARINHO,7/26/2018,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,21.0
Allan DO CARMO,7/26/2018,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,21.0
Victor COLONESE,7/26/2018,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,21.0
Alexander STUDZINSKI,7/26/2018,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,21.0
Luiz Gustavo FORATTO G. DE BARROS,7/26/2018,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,21.0
Alexandre FINCO,7/26/2018,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,21.0
Nicolas MASSE-SAVARD,7/26/2018,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,21.0
Jon Thomas MCKAY,7/26/2018,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,21.0
Matheus EMERIM EVANGELISTA,7/26/2018,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,21.0
Joaquin MORENO,7/26/2018,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,21.0
David POULIOT,7/26/2018,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,21.0
Evgenij POP ACEV,7/26/2018,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,21.0
Aquiles BALAUDO,7/26/2018,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,21.0
Edouard BELANGER,7/26/2018,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,21.0
Edoardo STOCHINO,7/28/2018,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,15.0
Xavier DESHARNAIS,7/28/2018,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,15.0
Alexander STUDZINSKI,7/28/2018,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,15.0
Evgenij POP ACEV,7/28/2018,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,15.0
Edouard LEHOUX,7/28/2018,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,15.0
Chris DEEGAN,7/28/2018,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,15.0
Santiago ENDERICA,7/28/2018,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,15.0
Damian BLAUM,7/28/2018,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,15.0
Aquiles BALAUDO,7/28/2018,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,15.0
Aleksandar ILIEVSKI,7/28/2018,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,15.0
Gabriel POULIOT,7/28/2018,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,15.0
Joaquin MORENO,7/28/2018,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,15.0
