athlete_name,date,event,location,distance,current_type,temp,field_size
Ferry WEERTMAN,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
David AUBRY,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Simone RUFFINI,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Axel REYMOND,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Gregorio PALTRINIERI,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Matteo FURLAN,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Andreas WASCHBURGER,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Rob MUFFELS,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Logan FONTAINE,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Yasunari HIRAI,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Christian REICHERT,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Kristof RASOVSZKY,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Victor JOHANSSON,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Soeren MEISSNER,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Tobias Patrick ROBINSON,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Marcus HERWIG,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Alberto MARTINEZ,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Simon HUITENGA,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Mario SANZULLO,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Jack BURNELL,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Aubin COCCORDANO,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Krzysztof PIELOWSKI,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Pepijn SMITS,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Diogo VILLARINHO,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Allan DO CARMO,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Vitaliy KHUDYAKOV,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Marcel SCHOUTEN,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Esteban ENDERICA SALGADO,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Fernando PONTE,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Clement BATTE,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Alexis VANDEVELDE,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Enzo ROLDAN MUNOZ,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Oliver SIGNORINI,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Nicolas MASSE-SAVARD,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Caleb HUGHES,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Bailey ARMSTRONG,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Gaspar ANDRADE BUDINO,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Jean-Baptiste CLUSMAN,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Taiki NONAKA,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Naim MOKHFI,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Alexander STUDZINSKI,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Hugo SAILLARD,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Arti KRASNIQI,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Kaito WATANUKI,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Baptiste COLMANT,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Elliot SODEMANN,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Hau-Li FAN,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Clement KUKLA,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
David BRANDL,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Shuyi LIU,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Taishin MINAMIDE,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Pablo LE CORRE,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Dimitrios NEGRIS,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Nicholas SLOMAN,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Evgenij POP ACEV,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Farid ZITOUNI,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Christopher JEDEL,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Jules WALLART,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Jiabao AN,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Eric HEDLIN,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
Lijun ZU,3/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0
