athlete_name,date,event,location,distance,current_type,temp,field_size
Ferry WEERTMAN,8/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,No Current,Neutral,25.0
Spyridon GIANNIOTIS,8/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,No Current,Neutral,25.0
Marc-Antoine OLIVIER,8/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,No Current,Neutral,25.0
Lijun ZU,8/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,No Current,Neutral,25.0
Jordan WILIMOVSKY,8/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,No Current,Neutral,25.0
Simone RUFFINI,8/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,No Current,Neutral,25.0
Federico VANELLI,8/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,No Current,Neutral,25.0
Yasunari HIRAI,8/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,No Current,Neutral,25.0
Christian REICHERT,8/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,No Current,Neutral,25.0
Chad HO,8/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,No Current,Neutral,25.0
Evgenii DRATTCEV,8/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,No Current,Neutral,25.0
Ous MELLOULI,8/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,No Current,Neutral,25.0
Mark PAPP,8/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,No Current,Neutral,25.0
Sean RYAN,8/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,No Current,Neutral,25.0
Ventsislav AYDARSKI,8/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,No Current,Neutral,25.0
Ivan ENDERICA OCHOA,8/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,No Current,Neutral,25.0
Richard WEINBERGER,8/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,No Current,Neutral,25.0
Allan DO CARMO,8/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,No Current,Neutral,25.0
Kane Rae Francis RADFORD,8/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,No Current,Neutral,25.0
Richard NAGY,8/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,No Current,Neutral,25.0
Jarrod POORT,8/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,No Current,Neutral,25.0
Erwin MALDONADO,8/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,No Current,Neutral,25.0
Marwan ELAMRAWY,8/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,No Current,Neutral,25.0
