athlete_name,date,event,location,distance,current_type,temp,field_size
Philippe GUERTIN,6/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0
Chip PETERSON,6/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0
Andreas WASCHBURGER,6/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0
Eric HEDLIN,6/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0
Richard WEINBERGER,6/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0
Pepijn SMITS,6/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0
Damien CATTIN-VIDAL,6/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0
Christian REICHERT,6/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0
Santiago ENDERICA,6/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0
Nicolas MASSE-SAVARD,6/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0
Diogo VILLARINHO,6/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0
Davy BILLIAU,6/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0
Xavier DESHARNAIS,6/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0
Edouard BELANGER,6/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0
Aleksandar ILIEVSKI,6/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0
Aquiles BALAUDO,6/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0
Tristan FILION,6/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0
Alex MEYER,6/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,16.0
Edoardo STOCHINO,6/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,16.0
Tomi STEFANOVSKI,6/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,16.0
Edouard LEHOUX,6/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,16.0
Evgenij POP ACEV,6/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,16.0
Aquiles BALAUDO,6/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,16.0
Bertrand VENTURI,6/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,16.0
Xavier DESHARNAIS,6/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,16.0
Aleksandar ILIEVSKI,6/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,16.0
Gabriel POULIOT,6/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,16.0
Simon PASTOR,6/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,16.0
Xavier THEROUX,6/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,16.0
