athlete_name,date,event,location,distance,current_type,temp,field_size
Simone RUFFINI,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Chip PETERSON,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Rob MUFFELS,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Allan DO CARMO,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Diogo VILLARINHO,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Andreas WASCHBURGER,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Marcel SCHOUTEN,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Vitaliy KHUDYAKOV,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Simon HUITENGA,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Mark PAPP,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Brendan CASEY,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Yuuya KATAOKA,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Evgenij POP ACEV,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Shai TOLEDANO,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Soon Choy Kevin YEAP,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Jingwei WENG,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Joaquin MORENO,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Yohsuke MIYAMOTO,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Lidou HAN,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Xinjie JI,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Cheng-Chi CHO,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Rudolf VISSER,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Kosuke MIMURA,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Riku KUWAZOE,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Ho Yin KWAN,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Jo MIYAZAWA,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Damien CATTIN-VIDAL,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
San Ching WONG,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Tsz Fung TSE,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Che-Yu HSU,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Singha CHAU,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Chung Kiu YAU,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Ho Yat Winson LEE,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Chun Hin HUI,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
Tsz Ho TSANG,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,38.0
