athlete_name,date,event,location,distance,current_type,temp,field_size
Simone RUFFINI,5/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0
Jack BURNELL,5/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0
Rob MUFFELS,5/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0
Andrea MANZI,5/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0
Ferry WEERTMAN,5/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0
Matteo FURLAN,5/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0
Mario SANZULLO,5/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0
Andreas WASCHBURGER,5/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0
Christian REICHERT,5/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0
Marcel SCHOUTEN,5/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0
Soeren MEISSNER,5/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0
Kristof RASOVSZKY,5/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0
Diogo VILLARINHO,5/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0
Hau-Li FAN,5/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0
Pepijn SMITS,5/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0
Vitaliy KHUDYAKOV,5/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0
Chad HO,5/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0
Allan DO CARMO,5/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0
Fernando PONTE,5/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0
Nicolas MASSE-SAVARD,5/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0
Tobias Patrick ROBINSON,5/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0
Kenessary KENENBAYEV,5/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0
Damien PAYET,5/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0
Bertrand PAYET,5/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0
