athlete_name,date,event,location,distance,current_type,temp,field_size
Kristof RASOVSZKY,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Allan DO CARMO,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Fernando PONTE,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Ferry WEERTMAN,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Soeren MEISSNER,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Simone RUFFINI,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Yasunari HIRAI,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Rob MUFFELS,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Tobias Patrick ROBINSON,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Marcel SCHOUTEN,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Pepijn SMITS,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Yuval SAFRA,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Simon HUITENGA,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Lachlan COLQUHOUN,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Alberto MARTINEZ,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Krzysztof PIELOWSKI,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Ivan ENDERICA OCHOA,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Andreas WASCHBURGER,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Ventsislav AYDARSKI,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Diogo VILLARINHO,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Christian REICHERT,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Oliver SIGNORINI,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Vitaliy KHUDYAKOV,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Taiki NONAKA,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Taishin MINAMIDE,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Federico VANELLI,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Matej KOZUBEK,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Gaspar ANDRADE BUDINO,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Hau-Li FAN,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Solomon WRIGHT,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Yosuke AOKI,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
Lupeng LIU,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,52.0
