athlete_name,date,event,location,distance,current_type,temp,field_size
Rob MUFFELS,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Ferry WEERTMAN,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Allan DO CARMO,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Jordan WILIMOVSKY,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Christian REICHERT,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Logan FONTAINE,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Simone RUFFINI,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Kristof RASOVSZKY,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Lachlan COLQUHOUN,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Simon HUITENGA,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Marcel SCHOUTEN,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Kai Graeme EDWARDS,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Diogo VILLARINHO,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Fernando PONTE,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Pepijn SMITS,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Federico VANELLI,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Matej KOZUBEK,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Andreas WASCHBURGER,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Simon LAMAR,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Tobias Patrick ROBINSON,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Yasunari HIRAI,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Taishin MINAMIDE,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Shahar RESMAN,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Alberto MARTINEZ,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Ventsislav AYDARSKI,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Soeren MEISSNER,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Ivan ENDERICA OCHOA,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Axel REYMOND,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Theodore SMITH,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Oliver SIGNORINI,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Jack BRAZIER,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Matan RODITI,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Kirill ABROSIMOV,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Aleksandr ASTAPOV,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Yuval SAFRA,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Bailey ARMSTRONG,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Krzysztof PIELOWSKI,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Hau-Li FAN,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Gaspar ANDRADE BUDINO,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
David HERON,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Vitaliy KHUDYAKOV,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Taiki NONAKA,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Michael BRINEGAR,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Shai TOLEDANO,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Ellito SODEMANN,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Clement BATTE,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Jiabao AN,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Solomon WRIGHT,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Artem MAMUSHKIN,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Jeremias MUNOZ,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Brennan GRAVLEY,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Yosuke AOKI,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Katelnikof Alexander DAWSON,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Lev CHEREPANOV,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Stanislav REDKO,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Ching Leung Sunny POON,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Chun Hin HUI,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Ho Yin KWAN,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Lok Yin LAW,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Chun Hei Bryan LEUNG,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Tsz Ho TSANG,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Ka Lung KWAN,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Chung Kiu YAU,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Chak Fung LAM,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
Singha CHAU,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0
