athlete_name,date,event,location,distance,current_type,temp,field_size
Kristof RASOVSZKY,8/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,21.0
Federico VANELLI,8/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,21.0
Allan DO CARMO,8/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,21.0
Simone RUFFINI,8/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,21.0
Soeren MEISSNER,8/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,21.0
Andreas WASCHBURGER,8/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,21.0
Christian REICHERT,8/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,21.0
Yasunari HIRAI,8/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,21.0
Yuval SAFRA,8/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,21.0
Simon HUITENGA,8/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,21.0
Fernando PONTE,8/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,21.0
Xavier DESHARNAIS,8/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,21.0
Guillermo BERTOLA,8/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,21.0
Chris DEEGAN,8/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,21.0
Nicolas MASSE-SAVARD,8/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,21.0
Rob MUFFELS,8/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,21.0
Evgenij POP ACEV,8/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,21.0
Jeremias MUNOZ,8/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,21.0
Edouard BELANGER,8/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,21.0
