athlete_name,date,event,location,distance,current_type,temp,field_size
Lijun ZU,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Christian REICHERT,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Ivan ENDERICA OCHOA,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Evgenii DRATTCEV,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Ous MELLOULI,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Richard NAGY,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Jarrod POORT,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Andreas WASCHBURGER,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Simon HUITENGA,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Yasunari HIRAI,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Chad HO,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Ventsislav AYDARSKI,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Esteban ENDERICA SALGADO,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Mark PAPP,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Antonio ARROYO,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Kirill ABROSIMOV,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Yohsuke MIYAMOTO,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Erwin MALDONADO,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Kane Rae Francis RADFORD,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Igor CHERVYNSKIY,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Jan MICKA,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Shuyi LIU,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Guillermo BERTOLA,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Vitaliy KHUDYAKOV,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Damian BLAUM,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Arturo PEREZ VERTTI FERRER,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Gustavo GUTIERREZ,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Rafael GIL,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Mateusz SAWRYMOWICZ,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Evgenij POP ACEV,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Marwan ELAMRAWY,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Daniel DELGADILLO,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Davy BILLIAU,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Phillip RYAN,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Krzysztof PIELOWSKI,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Vasco GASPAR,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Igor SNITKO,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Matthias SCHWEINZER,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Troyden PRINSLOO,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Yuval SAFRA,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Christopher BRYAN,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Haythem ABDELKHALEK,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Pol GIL,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Jan KUTNIK,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Tamas FARKAS,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Matthew LOWE,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Oskar NORDSTRAND,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Soon Choy Kevin YEAP,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Youssef Hossameldeen Khalil HOSSAMELDEEN,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Kenessary KENENBAYEV,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Singha CHAU,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
Chin Ting Keith SIN,6/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0
