athlete_name,date,event,location,distance,current_type,temp,field_size
Alex MEYER,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Simone RUFFINI,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Federico VANELLI,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Diego VERA,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Axel REYMOND,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Damien CATTIN-VIDAL,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Esteban ENDERICA SALGADO,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Daniel DELGADILLO,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Mario SANZULLO,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Martin CARRIZO YUNGES,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Erwin MALDONADO,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Benjamin BRANTU,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Guillermo BERTOLA,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Ivan ENDERICA OCHOA,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Christian REICHERT,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Luis Fernardo BOLANOS ZULOAGA,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Wilder CARRENO,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Chip PETERSON,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Juan Jose SEGOVIA RAMOS,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Andrea BIANCHI,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Santiago ENDERICA,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Diogo VILLARINHO,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Gabriel Raul VILLAGOIZ,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Vitaliy KHUDYAKOV,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Johndry SEGOVIA,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Logan FONTAINE,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Guillaume BOSCHER,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Rafael GIL,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Hugo RIBEIRO,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Damian BLAUM,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Tomi STEFANOVSKI,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Vasco GASPAR,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Aquiles BALAUDO,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Aleksandar ILIEVSKI,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Rodrigo CABALLERO,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
Fausto Emanuel BRONDO,2/7/2016,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,39.0
