athlete_name,date,event,location,distance,current_type,temp,field_size
Victor JOHANSSON,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Raul SANTIAGO BETANCOR,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Hugo CHOPINEAU,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Davy BILLIAU,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Denis ADEEV,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Kai Graeme EDWARDS,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Valentin BERNARD,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Sebastian KARAS,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Tomi STEFANOVSKI,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Mohamed HEGAZY,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Youssef Hossameldeen Khalil HOSSAMELDEEN,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Corentin RABIER,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Marwan ELAMRAWY,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Kenessary KENENBAYEV,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Isaias VASQUEZ TAVERA,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Ho Yin KWAN,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Timur ABZHANOV,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Chun Hin HUI,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Singha CHAU,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Ho Yat Winson LEE,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Abdulla Ali Hatim Ali Murad ALBALOOSHI,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
