athlete_name,date,event,location,distance,current_type,temp,field_size
Tomi STEFANOVSKI,8/20/2016,FINA Grand Prix,"Ohrid Lake, MKD",30.0,No Current,Neutral,9.0
Edoardo STOCHINO,8/20/2016,FINA Grand Prix,"Ohrid Lake, MKD",30.0,No Current,Neutral,9.0
Matheus EMERIM EVANGELISTA,8/20/2016,FINA Grand Prix,"Ohrid Lake, MKD",30.0,No Current,Neutral,9.0
Damian BLAUM,8/20/2016,FINA Grand Prix,"Ohrid Lake, MKD",30.0,No Current,Neutral,9.0
Aleksandar ILIEVSKI,8/20/2016,FINA Grand Prix,"Ohrid Lake, MKD",30.0,No Current,Neutral,9.0
Gabriele MARIA MENTO,8/20/2016,FINA Grand Prix,"Ohrid Lake, MKD",30.0,No Current,Neutral,9.0
Evgenij POP ACEV,8/20/2016,FINA Grand Prix,"Ohrid Lake, MKD",30.0,No Current,Neutral,9.0
Aquiles BALAUDO,8/20/2016,FINA Grand Prix,"Ohrid Lake, MKD",30.0,No Current,Neutral,9.0
Simon PASTOR,8/20/2016,FINA Grand Prix,"Ohrid Lake, MKD",30.0,No Current,Neutral,9.0
