athlete_name,date,event,location,distance,current_type,temp,field_size
Kristof RASOVSZKY,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Mario SANZULLO,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Jack BURNELL,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Ferry WEERTMAN,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Matteo FURLAN,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Marcel SCHOUTEN,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Pepijn SMITS,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Simone RUFFINI,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Alberto MARTINEZ,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Nicholas SLOMAN,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Raul SANTIAGO BETANCOR,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Brendan CASEY,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Dario VERANI,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Allan DO CARMO,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Andreas WASCHBURGER,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Soeren MEISSNER,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Diogo VILLARINHO,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Alexandre FINCO,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Bailey ARMSTRONG,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
David HERON,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Rob MUFFELS,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Vitaliy KHUDYAKOV,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Simon HUITENGA,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Igor CHERVYNSKIY,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Yuval SAFRA,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Tobias Patrick ROBINSON,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Andrea MANZI,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Elliot SODEMANN,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Pol GIL,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
David BRANDL,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Tiago CAMPOS,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Fernando PONTE,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Nicholas ROLLO,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Shai TOLEDANO,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Oliver SIGNORINI,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Ventsislav AYDARSKI,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Yohsuke MIYAMOTO,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Marcus HERWIG,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Jiabao AN,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Rafael GIL,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Christopher JEDEL,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Matthew SCOTT,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Long CHENG,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Aquiles BALAUDO,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Jose PAULA CARVALHO,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Marwan ELAMRAWY,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Yunze WANG,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Yosuke AOKI,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
Kenessary KENENBAYEV,6/9/2018,FINA World Cup,"Setubal, POR",10.0,Current,Cold,49.0
