athlete_name,date,event,location,distance,current_type,temp,field_size
Florian WELLBROCK,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Ferry WEERTMAN,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Axel REYMOND,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Tobias Patrick ROBINSON,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Matteo FURLAN,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Nicholas SLOMAN,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Matan RODITI,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Jack BURNELL,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Esteban ENDERICA SALGADO,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Simone RUFFINI,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Andrea MANZI,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
David BRANDL,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Simon HUITENGA,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Fernando PONTE,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Allan DO CARMO,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Mario SANZULLO,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Diogo VILLARINHO,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
David HUSZTI,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Daniel SZEKELYI,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Bailey ARMSTRONG,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Yasunari HIRAI,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Yuval SAFRA,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Rafael GIL,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Nicholas ROLLO,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Ruwen STRAUB,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Alexandre FINCO,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Shahar RESMAN,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Oliver SIGNORINI,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Taishin MINAMIDE,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Elliot SODEMANN,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Matej KOZUBEK,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Peter GALICZ,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Ivan ENDERICA OCHOA,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
Zoltán DRIGAN,6/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,No Current,Neutral,69.0
