athlete_name,date,event,location,distance,current_type,temp,field_size
Evgenij POP ACEV,9/4/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,No Current,Neutral,16.0
Damian BLAUM,9/4/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,No Current,Neutral,16.0
Bertrand VENTURI,9/4/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,No Current,Neutral,16.0
Marcel SCHOUTEN,9/4/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,No Current,Neutral,16.0
Matheus EMERIM EVANGELISTA,9/4/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,No Current,Neutral,16.0
Edoardo STOCHINO,9/4/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,No Current,Neutral,16.0
Tomi STEFANOVSKI,9/4/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,No Current,Neutral,16.0
Gabriele MARIA MENTO,9/4/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,No Current,Neutral,16.0
Aleksandar ILIEVSKI,9/4/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,No Current,Neutral,16.0
Saleh MOHAMMAD,9/4/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,No Current,Neutral,16.0
Aquiles BALAUDO,9/4/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,No Current,Neutral,16.0
Simon PASTOR,9/4/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,No Current,Neutral,16.0
