athlete_name,date,event,location,distance,current_type,temp,field_size
Edoardo STOCHINO,2/4/2018,FINA Grand Prix,"Santa Fe, ARG",57.0,Current,Neutral,15.0
Simone ERCOLI,2/4/2018,FINA Grand Prix,"Santa Fe, ARG",57.0,Current,Neutral,15.0
Evgenij POP ACEV,2/4/2018,FINA Grand Prix,"Santa Fe, ARG",57.0,Current,Neutral,15.0
Aquiles BALAUDO,2/4/2018,FINA Grand Prix,"Santa Fe, ARG",57.0,Current,Neutral,15.0
Santiago ENDERICA,2/4/2018,FINA Grand Prix,"Santa Fe, ARG",57.0,Current,Neutral,15.0
Nicolas PROVENZANO,2/4/2018,FINA Grand Prix,"Santa Fe, ARG",57.0,Current,Neutral,15.0
Aleksandar ILIEVSKI,2/4/2018,FINA Grand Prix,"Santa Fe, ARG",57.0,Current,Neutral,15.0
Matias AGUIRRE,2/4/2018,FINA Grand Prix,"Santa Fe, ARG",57.0,Current,Neutral,15.0
Saleh MOHAMMAD,2/4/2018,FINA Grand Prix,"Santa Fe, ARG",57.0,Current,Neutral,15.0
Fausto Emanuel BRONDO,2/4/2018,FINA Grand Prix,"Santa Fe, ARG",57.0,Current,Neutral,15.0
Jose Ignacio RAVAGNA,2/4/2018,FINA Grand Prix,"Santa Fe, ARG",57.0,Current,Neutral,15.0
