athlete_name,date,event,location,distance,current_type,temp,field_size
Federico VANELLI,2/4/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0
Simone RUFFINI,2/4/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0
David AUBRY,2/4/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0
Guillermo BERTOLA,2/4/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0
Logan FONTAINE,2/4/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0
Allan DO CARMO,2/4/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0
Vitaliy KHUDYAKOV,2/4/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0
Fernando PONTE,2/4/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0
Baptiste COLMANT,2/4/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0
Yann CORBEL,2/4/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0
Benjamin BRANTU,2/4/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0
Joaquin MORENO,2/4/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0
Santiago ENDERICA,2/4/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0
Franco Ivo CASSINI,2/4/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0
Maximiliano PACCOT,2/4/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0
David FARINANGO,2/4/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0
David CASTRO,2/4/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0
