athlete_name,date,event,location,distance,current_type,temp,field_size
Simone RUFFINI,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
Andreas WASCHBURGER,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
Allan DO CARMO,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
Marcel SCHOUTEN,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
Kristof RASOVSZKY,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
Zhongyi QIAO,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
Jiabao AN,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
Jingwei WENG,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
Ruoyu WANG,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
Yohsuke MIYAMOTO,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
Wenhao WANG,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
Joaquin MORENO,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
Vitaliy KHUDYAKOV,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
Lidou HAN,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
Chip PETERSON,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
Evgenij POP ACEV,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
Yuuya KATAOKA,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
Zibin ZHANG,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
Yifan ZHAO,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
Shuhei MATSUMURA,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
Ho Yin KWAN,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
Riku KUWAZOE,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
Kosuke MIMURA,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
Chin Ting Keith SIN,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
Jo MIYAZAWA,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
Chun Hin HUI,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
Tsz Fung TSE,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
Chun Hei Bryan LEUNG,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
San Ching WONG,10/9/2016,FINA World Cup,"Chun'An, CHN",10.0,No Current,Neutral,30.0
