athlete_name,date,event,location,distance,current_type,temp,field_size
Christian REICHERT,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,22.0
Dario VERANI,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,22.0
Fernando PONTE,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,22.0
Marcel SCHOUTEN,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,22.0
Luiz Gustavo FORATTO G. DE BARROS,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,22.0
Alexandre FINCO,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,22.0
Xavier DESHARNAIS,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,22.0
Matheus EMERIM EVANGELISTA,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,22.0
Vitaliy KHUDYAKOV,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,22.0
Elliot SODEMANN,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,22.0
Diogo VILLARINHO,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,22.0
Edouard LEHOUX,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,22.0
Jon Thomas MCKAY,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,22.0
Santiago ENDERICA,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,22.0
Aquiles BALAUDO,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,22.0
Chris DEEGAN,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,22.0
Nicolas MASSE-SAVARD,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,22.0
David POULIOT,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,22.0
Edouard BELANGER,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,22.0
Jia HU,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,22.0
Maxime GAGNON,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,22.0
Francesco GHETTINI,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,17.0
Edoardo STOCHINO,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,17.0
Andrea BIANCHI,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,17.0
Alexander STUDZINSKI,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,17.0
Joaquin MORENO,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,17.0
Evgenij POP ACEV,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,17.0
Damian BLAUM,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,17.0
Santiago ENDERICA,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,17.0
Artur PEDROZA,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,17.0
Xavier DESHARNAIS,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,17.0
Aleksandar ILIEVSKI,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,17.0
Aquiles BALAUDO,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,17.0
Luciano SEGURADO,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,17.0
Matias DIAZ HERNANDEZ,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,17.0
Arseny BEKETOV,8/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,No Current,Neutral,17.0
