athlete_name,date,event,location,distance,current_type,temp,field_size
Philippe GUERTIN,8/13/2016,FINA World Cup,"Lac Memphremagog, CAN",10.0,No Current,Neutral,20.0
Chip PETERSON,8/13/2016,FINA World Cup,"Lac Memphremagog, CAN",10.0,No Current,Neutral,20.0
Andreas WASCHBURGER,8/13/2016,FINA World Cup,"Lac Memphremagog, CAN",10.0,No Current,Neutral,20.0
Eric HEDLIN,8/13/2016,FINA World Cup,"Lac Memphremagog, CAN",10.0,No Current,Neutral,20.0
Richard WEINBERGER,8/13/2016,FINA World Cup,"Lac Memphremagog, CAN",10.0,No Current,Neutral,20.0
Pepijn SMITS,8/13/2016,FINA World Cup,"Lac Memphremagog, CAN",10.0,No Current,Neutral,20.0
Damien CATTIN-VIDAL,8/13/2016,FINA World Cup,"Lac Memphremagog, CAN",10.0,No Current,Neutral,20.0
Christian REICHERT,8/13/2016,FINA World Cup,"Lac Memphremagog, CAN",10.0,No Current,Neutral,20.0
Santiago ENDERICA,8/13/2016,FINA World Cup,"Lac Memphremagog, CAN",10.0,No Current,Neutral,20.0
Nicolas MASSE-SAVARD,8/13/2016,FINA World Cup,"Lac Memphremagog, CAN",10.0,No Current,Neutral,20.0
Diogo VILLARINHO,8/13/2016,FINA World Cup,"Lac Memphremagog, CAN",10.0,No Current,Neutral,20.0
Davy BILLIAU,8/13/2016,FINA World Cup,"Lac Memphremagog, CAN",10.0,No Current,Neutral,20.0
Xavier DESHARNAIS,8/13/2016,FINA World Cup,"Lac Memphremagog, CAN",10.0,No Current,Neutral,20.0
Edouard BELANGER,8/13/2016,FINA World Cup,"Lac Memphremagog, CAN",10.0,No Current,Neutral,20.0
Aleksandar ILIEVSKI,8/13/2016,FINA World Cup,"Lac Memphremagog, CAN",10.0,No Current,Neutral,20.0
Aquiles BALAUDO,8/13/2016,FINA World Cup,"Lac Memphremagog, CAN",10.0,No Current,Neutral,20.0
Tristan FILION,8/13/2016,FINA World Cup,"Lac Memphremagog, CAN",10.0,No Current,Neutral,20.0
