athlete_name,date,event,location,distance,current_type,temp,field_size
Matteo FURLAN,9/3/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,No Current,Neutral,17.0
Andrea BIANCHI,9/3/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,No Current,Neutral,17.0
Guillermo BERTOLA,9/3/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,No Current,Neutral,17.0
Evgenij POP ACEV,9/3/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,No Current,Neutral,17.0
Alexander STUDZINSKI,9/3/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,No Current,Neutral,17.0
Xavier DESHARNAIS,9/3/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,No Current,Neutral,17.0
Damian BLAUM,9/3/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,No Current,Neutral,17.0
Edoardo STOCHINO,9/3/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,No Current,Neutral,17.0
Matheus EMERIM EVANGELISTA,9/3/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,No Current,Neutral,17.0
Edouard LEHOUX,9/3/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,No Current,Neutral,17.0
Bertrand VENTURI,9/3/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,No Current,Neutral,17.0
Aleksandar ILIEVSKI,9/3/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,No Current,Neutral,17.0
Matias DIAZ HERNANDEZ,9/3/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,No Current,Neutral,17.0
Aquiles BALAUDO,9/3/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,No Current,Neutral,17.0
Nicolas SEGUARDO,9/3/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,No Current,Neutral,17.0
Fernando Dario CIARAMELLA,9/3/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,No Current,Neutral,17.0
