athlete_name,date,event,location,distance,current_type,temp,field_size
Alex MEYER,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Simone RUFFINI,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Federico VANELLI,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Diego VERA,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Axel REYMOND,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Damien CATTIN-VIDAL,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Esteban ENDERICA SALGADO,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Daniel DELGADILLO,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Mario SANZULLO,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Martin CARRIZO YUNGES,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Erwin MALDONADO,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Benjamin BRANTU,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Guillermo BERTOLA,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Ivan ENDERICA OCHOA,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Christian REICHERT,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Luis Fernardo BOLANOS ZULOAGA,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Wilder CARRENO,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Chip PETERSON,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Juan Jose SEGOVIA RAMOS,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Andrea BIANCHI,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Santiago ENDERICA,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Diogo VILLARINHO,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Gabriel Raul VILLAGOIZ,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Vitaliy KHUDYAKOV,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Johndry SEGOVIA,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Logan FONTAINE,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Guillaume BOSCHER,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Rafael GIL,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Hugo RIBEIRO,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Damian BLAUM,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Tomi STEFANOVSKI,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Vasco GASPAR,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Aquiles BALAUDO,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Aleksandar ILIEVSKI,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Rodrigo CABALLERO,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
Fausto Emanuel BRONDO,2/7/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39
end,,2016_02_07_Viedma,,,,,
Marc-Antoine OLIVIER,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81
Jack BURNELL,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81
Simone RUFFINI,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81
Evgenii DRATTCEV,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81
Axel REYMOND,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81
