name,points,finish_score,volume_score,ranking_score,rank
Ferry Weertman,1974.821917808219,0.9202898550724637,0.9782608695652173,2912.146813579511,1
Marcel Schouten,1772.7739726027398,0.6376811594202898,1.0,2498.583606313282,2
Simone Ruffini,1480.8698630136987,0.7391304347826086,0.9782608695652173,2116.6781194163195,3
Fernando Ponte,1380.821917808219,0.6086956521739131,0.9565217391304348,1921.1435378201309,4
Matteo Furlan,1265.7534246575342,0.8115942028985508,0.9420289855072465,1820.6670637284096,5
Jack Burnell,1236.678082191781,0.8478260869565217,0.855072463768116,1763.162410661108,6
Christian Reichert,1144.9315068493152,0.6811594202898551,0.8840579710144928,1592.9481834425255,7
Kristof Rasovszky,1012.1917808219177,0.6666666666666666,0.8985507246376812,1408.2668254913638,8
Mario Sanzullo,816.4726027397262,0.8260869565217391,0.681159420289855,1124.1289458010724,9
Rob Muffels,807.8424657534247,0.782608695652174,0.7391304347826088,1115.1738385944016,10
Diogo Villarinho,831.472602739726,0.318840579710145,0.9130434782608695,1087.5420637284096,11
Allan Do Carmo,791.6712328767123,0.5507246376811594,0.927536231884058,1084.2453841572365,12
Axel Reymond,768.945205479452,0.8985507246376812,0.6231884057971014,1061.4787075640263,13
Luiz Gustavo Foratto G. De Barros,755.5890410958904,0.7173913043478262,0.782608695652174,1038.9349315068494,14
Dario Verani,765.9246575342465,0.5797101449275363,0.753623188405797,1021.2328767123287,15
Alexandre Finco,667.4794520547946,0.6376811594202898,0.782608695652174,904.4830256104825,16
Florian Wellbrock,632.8767123287671,0.9855072463768116,0.427536231884058,856.4472900536033,17
Andrea Manzi,539.3013698630137,0.5797101449275363,0.7101449275362319,713.2065217391305,18
Nicholas Sloman,508.31506849315065,0.5289855072463767,0.7246376811594203,667.6239577129243,19
Matheus Emerim Evangelista,486.8630136986302,0.49275362318840576,0.826086956521739,647.3866885050626,20
Tobias Patrick Robinson,486.02054794520546,0.4057971014492754,0.6956521739130435,619.8522930315664,21
Andreas Waschburger,462.5342465753425,0.318840579710145,0.8405797101449275,596.6021441334128,22
Victor Colonese,414.7397260273972,0.782608695652174,0.4855072463768116,546.2242406194163,23
David Aubry,401.3013698630137,0.9565217391304348,0.30434782608695654,527.7985407980941,24
Alexander Studzinski,380.92602739726027,0.8768115942028986,0.5652173913043478,518.2526206075045,25
Xavier Desharnais,348.73150684931505,0.6956521739130435,0.5869565217391305,460.55302263251934,26
Pepijn Smits,347.26027397260276,0.1376811594202898,0.8115942028985508,429.67167957117334,27
Jon Thomas Mckay,326.71232876712327,0.2246376811594203,0.782608695652174,408.9822811197141,28
Matan Roditi,284.7945205479452,0.6376811594202898,0.427536231884058,360.63653960690885,29
Soeren Meissner,265.21232876712327,0.318840579710145,0.6666666666666667,330.5544967242406,30
Gregorio Paltrinieri,258.61643835616434,0.782608695652174,0.30434782608695654,328.89264443120896,31
Vitaliy Khudyakov,261.7808219178082,0.4492753623188406,0.5289855072463768,325.8033055390113,32
Nicolas Masse-Savard,250.27397260273972,0.4492753623188406,0.4855072463768116,308.761911852293,33
Logan Fontaine,229.41780821917808,0.5797101449275363,0.36231884057971014,283.44736450268016,34
Elliot Sodemann,224.3835616438356,0.318840579710145,0.5289855072463768,271.94312090530076,35
Esteban Enderica Salgado,221.50684931506848,0.4492753623188406,0.427536231884058,270.06179273377006,36
