name,points,finish_score,volume_score,ranking_score,rank
Evgenij Pop Acev,197.1123287671233,0.7536231884057971,0.6521739130434783,266.387313877308,37
Alberto Martinez,223.04794520547944,0.1376811594202898,0.5507246376811594,261.43481983323403,38
Yasunari Hirai,192.94520547945206,0.5072463768115942,0.33333333333333337,233.49166170339487,39
Aquiles Balaudo,171.87123287671236,0.2028985507246377,0.8695652173913043,217.95265038713524,40
Santiago Enderica,158.6958904109589,0.3840579710144927,0.6376811594202898,199.23234067897556,41
Edoardo Stochino,155.68767123287674,0.8478260869565217,0.26811594202898553,199.122275163788,42
Edouard Lehoux,157.02739726027397,0.2753623188405797,0.5869565217391305,190.87931804645623,43
Simon Huitenga,157.8082191780822,0.1376811594202898,0.6086956521739131,187.25431804645623,44
Raul Santiago Betancor,154.62328767123287,0.253623188405797,0.38405797101449274,179.27337701012507,45
Simone Ercoli,130.1917808219178,0.9565217391304348,0.2028985507246377,167.9285288862418,46
Joaquin Moreno,143.013698630137,0.1376811594202898,0.4855072463768116,165.29481834425252,47
David Brandl,126.57534246575342,0.1376811594202898,0.427536231884058,144.4609886837403,48
Brendan Casey,123.69863013698631,0.1376811594202898,0.38405797101449274,139.83323406789756,49
David Pouliot,107.26027397260273,0.05797101449275355,0.4855072463768116,121.83368076235854,50
Jordan Wilimovsky,94.93150684931506,0.8768115942028986,0.13768115942028986,119.0083382966051,51
Nicolas Provenzano,74.92602739726027,0.4492753623188406,0.24637681159420288,87.95664085765335,52
Aleksandar Ilievski,70.43835616438356,0.3623188405797102,0.26811594202898553,81.54005360333532,53
Victor Johansson,66.88356164383562,0.05797101449275355,0.30434782608695654,72.94185527099464,54
Lachlan Colquhoun,63.4931506849315,0.2246376811594203,0.15942028985507245,69.58941334127456,55
Matias Aguirre,57.86301369863014,0.5289855072463767,0.2028985507246377,68.4502680166766,56
Hau-Li Fan,57.73972602739727,0.021739130434782705,0.34782608695652173,63.07437462775462,57
Saleh Mohammad,50.63013698630137,0.4492753623188406,0.2028985507246377,58.88505062537225,58
Fausto Emanuel Brondo,43.397260273972606,0.318840579710145,0.2028985507246377,49.05777248362121,59
Jose Ignacio Ravagna,36.16438356164384,0.253623188405797,0.2028985507246377,40.29184038117928,60
Kai Graeme Edwards,28.767123287671232,0.1376811594202898,0.13768115942028986,30.74746873138773,61
Yuval Safra,26.30136986301369,0.1376811594202898,0.11594202898550725,27.96902918403811,62
Guillermo Bertola,17.876712328767127,0.9202898550724637,0.07971014492753623,22.34589041095891,63
Andrea Bianchi,16.27397260273972,0.9565217391304348,0.036231884057971016,20.312983918999393,64
Damian Blaum,11.473972602739728,0.7173913043478262,0.07971014492753623,13.760452650387139,65
Bertrand Venturi,6.82191780821918,0.3840579710144927,0.07971014492753623,7.612864800476475,66
Matias Diaz Hernandez,3.575342465753425,0.05797101449275355,0.07971014492753623,3.6984067897558077,67
Nicolas Seguardo,0.9041095890410955,0.0,0.036231884057971016,0.9122989874925547,68
Aleksandar Pancevski,0.5753424657534256,0.021739130434782705,0.014492753623188406,0.580553901131627,69
